County Num,County,D_j - R_j
1,Bernalillo,42941
2,Catron,-917
3,Chaves,-6650
4,Cibola,1941
5,Colfax,116
6,Curry,-5194
7,DeBaca,-299
8,Dona Ana,9790
9,Eddy,-6436
10,Grant,1723
11,Guadalupe,870
12,Harding,-66
13,Hidalgo,99
14,Lea,-8412
15,Lincoln,-3009
16,Los Alamos,395
17,Luna,-81
18,McKinley,9943
19,Mora,1361
20,Otero,-5504
21,Quay,-812
22,Rio Arriba,8016
23,Roosevelt,-2313
24,Sandoval,2707
25,San Juan,-13091
26,San Miguel,6473
27,Santa Fe,34523
28,Sierra,-965
29,Socorro,1285
30,Taos,9145
31,Torrance,-1107
32,Union,-760
33,Valencia,685
